model_type,architecture,checkpoint,roc_auc,pr_auc,f1,sensitivity,specificity,ece,specificity_at_95_sens,ppv_at_95_sens,npv_at_95_sens,size_mb,latency_ms
teacher,efficientnet_b1,teacher_efficientnet_b1_focal_best.pth,0.9242018278618872,0.7124415675446466,0.6172248803827751,0.75,0.912751677852349,0.1577771719980933,0.0,0.11368142762723067,0.0,25.087932586669922,8.781411595409736
teacher,efficientnet_b7,teacher_efficientnet_b7_focal_best.pth,0.9179846695454625,0.6730856738753032,0.6224489795918368,0.7093023255813954,0.9269202087994034,0.17603555532456705,0.0,0.11368142762723067,0.0,244.5242576599121,22.00609587249346
teacher,efficientnet_b3,teacher_efficientnet_b3_focal_best.pth,0.9114510171166952,0.6338879955556239,0.5659340659340659,0.5988372093023255,0.9336316181953765,0.06204392057914293,0.0,0.11368142762723067,0.0,41.14235305786133,10.274044593097642
teacher,efficientnet_b0,teacher_efficientnet_b0_focal_best.pth,0.9095997433362816,0.6339154534389577,0.5418502202643172,0.7151162790697675,0.8814317673378076,0.1478869815289935,0.0,0.11368142762723067,0.0,15.453121185302734,6.188334991456941
teacher,efficientnet_b4,teacher_efficientnet_b4_focal_best.pth,0.9046919168270815,0.6325352134195338,0.587012987012987,0.6569767441860465,0.9254287844891872,0.09594233287036694,0.0,0.11368142762723067,0.0,67.42782974243164,12.336185838794336
teacher,efficientnet_b2,teacher_efficientnet_b2_focal_best.pth,0.9044556301267711,0.6611970527631207,0.5940054495912807,0.6337209302325582,0.935868754660701,0.053805750325046385,0.0,0.11368142762723067,0.0,29.640613555908203,8.909174175933003
teacher,resnet18,teacher_resnet18_focal_best.pth,0.9016657128487939,0.5630245535919599,0.4826388888888889,0.8081395348837209,0.8023862788963461,0.19371618507263763,0.0,0.11368142762723067,0.0,42.67374038696289,1.8297342141158879
teacher,resnet152,teacher_resnet152_focal_best.pth,0.9004604339004214,0.5477655343587836,0.48172757475083056,0.8430232558139535,0.7874720357941835,0.21780875635438618,0.0,0.11368142762723067,0.0,222.3876609802246,13.674427540972829
teacher,resnet34,teacher_resnet34_focal_best.pth,0.8990643913774865,0.5631964619319713,0.49097472924187724,0.7906976744186046,0.8165548098434005,0.20301352438356254,0.0,0.11368142762723067,0.0,81.26175308227539,3.2686833071056753
teacher,efficientnet_b5,teacher_efficientnet_b5_focal_best.pth,0.8979805074311084,0.5572671670415308,0.5139664804469274,0.8023255813953488,0.8307233407904548,0.2293384153905564,0.0,0.11368142762723067,0.0,108.77914810180664,15.219559195684269
teacher,resnet50,teacher_resnet50_focal_best.pth,0.894897941487609,0.5464201589544686,0.5422993492407809,0.7267441860465116,0.877703206562267,0.17404674316503435,0.0,0.11368142762723067,0.0,89.88688278198242,4.773789935279638
teacher,efficientnet_b6,teacher_efficientnet_b6_focal_best.pth,0.8943993548722751,0.5985902510144051,0.5404040404040404,0.622093023255814,0.912751677852349,0.14181899243900498,0.0,0.11368142762723067,0.0,156.26033401489258,17.57522093015723
teacher,resnet101,teacher_resnet101_focal_best.pth,0.8870246085011185,0.47317856224747556,0.46229508196721314,0.8197674418604651,0.7785234899328859,0.21913692796872458,0.0,0.11368142762723067,0.0,162.53570938110352,9.29957966436632
