model,params_total,params_trainable,memory_mb,inference_avg_per_image_s,throughput_ips,final_val_acc,final_val_f1,etest_roc_auc
resnet18,11177025,10493953,42.67374038696289,0.001225501298904419,815.9926071836775,0.765625,0.2857142857142857,0.5685185185185185
resnet34,21285185,19937281,81.26175308227539,0.00017546862363815308,5699.024584943315,0.84375,0.0,0.3
resnet50,23510081,22065153,89.88688278198242,0.0015818290412425995,632.1795680362867,0.765625,0.11764705882352941,0.48796296296296293
resnet101,42502209,41057281,162.53570938110352,0.0005180761218070984,1930.2182785647515,0.84375,0.16666666666666666,0.5
resnet152,58145857,55580673,222.3876609802246,0.0021620765328407288,462.518317372471,0.84375,0.0,0.5
